Weight,Train CI,Test CI,Train BS,Test BS,Likelihood,SD
[78.90177708 21.09822292],0.7734648306661704,0.7657524761417347,0.07253711575476128,0.09111671938629844,9.105266731281711e-178,7.232220749264914
[78.90177708 21.09822292],0.7734648306661704,0.8019210717558217,0.07253711575476128,0.09784912515346622,9.105266731281711e-178,6.175388848813466
[78.90177708 21.09822292],0.7734648306661704,0.8071451104100946,0.07253711575476128,0.0956600212858086,9.105266731281711e-178,5.867911971144283
[78.90177708 21.09822292],0.7734648306661704,0.760829423338883,0.07253711575476128,0.10025643165438863,9.105266731281711e-178,6.166764636564908
[78.90177708 21.09822292],0.7734648306661704,0.8093706378588336,0.07253711575476128,0.09019255831224318,9.105266731281711e-178,6.344591629693499
[78.90177708 21.09822292],0.7734648306661704,0.7919167923983179,0.07253711575476128,0.09036242924763013,9.105266731281711e-178,5.923100942655454
[78.90177708 21.09822292],0.7734648306661704,0.7837709585574185,0.07253711575476128,0.08851341439619366,9.105266731281711e-178,6.337562722632629
[78.90177708 21.09822292],0.7734648306661704,0.7425547624907703,0.07253711575476128,0.08107488747069341,9.105266731281711e-178,5.962394451063712
[78.90177708 21.09822292],0.7734648306661704,0.7716962071815594,0.07253711575476128,0.09281044659337837,9.105266731281711e-178,6.405968108315397
[78.90177708 21.09822292],0.7734648306661704,0.7920009688455599,0.07253711575476128,0.09208668765490986,9.105266731281711e-178,5.400298963353056
[78.90177708 21.09822292],0.7734648306661704,0.7772545792569565,0.07253711575476128,0.09065724787427613,9.105266731281711e-178,5.457930332500866
[78.90177708 21.09822292],0.7734648306661704,0.74405127889818,0.07253711575476128,0.08523320454369382,9.105266731281711e-178,6.338119618754027
[78.90177708 21.09822292],0.7734648306661704,0.7889044175730692,0.07253711575476128,0.08819222808305127,9.105266731281711e-178,5.808373673858387
[78.90177708 21.09822292],0.7734648306661704,0.7913441024078025,0.07253711575476128,0.09121086358525099,9.105266731281711e-178,6.338742800566705
[78.90177708 21.09822292],0.7734648306661704,0.7398424608487189,0.07253711575476128,0.10346877193958047,9.105266731281711e-178,5.506389073878419
[78.90177708 21.09822292],0.7734648306661704,0.7604561556149401,0.07253711575476128,0.10417897117805246,9.105266731281711e-178,6.314798734548893
[78.90177708 21.09822292],0.7734648306661704,0.7792498543257582,0.07253711575476128,0.09220518859175426,9.105266731281711e-178,6.962386100267016
[78.90177708 21.09822292],0.7734648306661704,0.7825352549201922,0.07253711575476128,0.09571928608379297,9.105266731281711e-178,7.121070982405335
[78.90177708 21.09822292],0.7734648306661704,0.77997202712153,0.07253711575476128,0.08956234186977775,9.105266731281711e-178,5.762293001381567
[78.90177708 21.09822292],0.7734648306661704,0.7686555822365422,0.07253711575476128,0.09639311166870823,9.105266731281711e-178,6.308212952577271
[78.90177708 21.09822292],0.7734648306661704,0.7684539850695412,0.07253711575476128,0.0884886678947345,9.105266731281711e-178,5.728214020303506
[78.90177708 21.09822292],0.7734648306661704,0.7704887276820612,0.07253711575476128,0.08810348326278715,9.105266731281711e-178,5.706023037908254
[78.90177708 21.09822292],0.7734648306661704,0.7907351394003156,0.07253711575476128,0.07417323777527522,9.105266731281711e-178,6.820948420916347
[78.90177708 21.09822292],0.7734648306661704,0.7587149584399987,0.07253711575476128,0.0893589212601867,9.105266731281711e-178,6.607967322768988
[78.90177708 21.09822292],0.7734648306661704,0.7815298959089809,0.07253711575476128,0.09048041823749751,9.105266731281711e-178,6.560326366998082
[78.90177708 21.09822292],0.7734648306661704,0.784286612193589,0.07253711575476128,0.08933081618757001,9.105266731281711e-178,6.423157169226701
[78.90177708 21.09822292],0.7734648306661704,0.8109186912656756,0.07253711575476128,0.08956739577099404,9.105266731281711e-178,6.798853392782423
[78.90177708 21.09822292],0.7734648306661704,0.763036902601331,0.07253711575476128,0.08906169064096096,9.105266731281711e-178,6.419394218763116
[78.90177708 21.09822292],0.7734648306661704,0.7733521431144195,0.07253711575476128,0.08714189046161694,9.105266731281711e-178,6.315713011507398
[78.90177708 21.09822292],0.7734648306661704,0.7548796606522608,0.07253711575476128,0.09365341507178677,9.105266731281711e-178,6.779803741067994
[78.90177708 21.09822292],0.7734648306661704,0.7686669720568026,0.07253711575476128,0.09529291805408092,9.105266731281711e-178,6.209211515335227
[78.90177708 21.09822292],0.7734648306661704,0.7704281374299227,0.07253711575476128,0.10798907813269834,9.105266731281711e-178,6.00739697920308
[78.90177708 21.09822292],0.7734648306661704,0.7798584865448552,0.07253711575476128,0.09853767220358502,9.105266731281711e-178,6.120528982265134
[78.90177708 21.09822292],0.7734648306661704,0.7960326793340348,0.07253711575476128,0.10449505908584827,9.105266731281711e-178,6.273984674177328
[78.90177708 21.09822292],0.7734648306661704,0.8108673262382572,0.07253711575476128,0.10881958565312402,9.105266731281711e-178,6.7875408193567415
[78.90177708 21.09822292],0.7734648306661704,0.7902985074626866,0.07253711575476128,0.09330943024052414,9.105266731281711e-178,6.268216560088097
[78.90177708 21.09822292],0.7734648306661704,0.7628123290169615,0.07253711575476128,0.08679876738043053,9.105266731281711e-178,6.1823258726021
[78.90177708 21.09822292],0.7734648306661704,0.7400423860873901,0.07253711575476128,0.08895973648817584,9.105266731281711e-178,5.569777137823524
[78.90177708 21.09822292],0.7734648306661704,0.7496743447180302,0.07253711575476128,0.08821231444079171,9.105266731281711e-178,5.074190625357706
[78.90177708 21.09822292],0.7734648306661704,0.7939585211902614,0.07253711575476128,0.09396661376637738,9.105266731281711e-178,5.99600704188658
[78.90177708 21.09822292],0.7734648306661704,0.7706835884635048,0.07253711575476128,0.08580874075755537,9.105266731281711e-178,5.990556383688043
